Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,49.500000,50.419998,49.119999,50.369999,50.369999,540900
2021-04-27,50.000000,50.500000,49.810001,50.299999,50.299999,336300
2021-04-28,49.730000,50.200001,49.529999,49.950001,49.950001,340100
2021-04-29,49.150002,49.220001,48.360001,48.950001,48.950001,187600
2021-04-30,49.049999,49.450001,48.869999,48.919998,48.919998,94700
2021-05-03,48.250000,48.330002,47.900002,48.240002,48.240002,143700
2021-05-04,47.639999,47.779999,47.180000,47.590000,47.590000,184300
2021-05-05,47.810001,48.029999,47.470001,47.790001,47.790001,254100
2021-05-06,50.709999,51.730000,50.630001,51.680000,51.680000,217600
2021-05-07,52.020000,52.930000,52.020000,52.759998,52.759998,222000
2021-05-10,53.450001,53.669998,52.349998,52.580002,52.580002,245900
2021-05-11,52.060001,53.209999,52.060001,52.680000,52.680000,337900
2021-05-12,51.950001,52.709999,50.910000,50.959999,50.959999,263100
2021-05-13,51.680000,52.840000,51.619999,52.720001,52.720001,133900
2021-05-14,52.680000,52.680000,51.520000,51.580002,51.580002,244900
2021-05-17,51.189999,51.529999,50.830002,51.340000,51.340000,120100
2021-05-18,51.919998,51.959999,51.660000,51.700001,51.700001,145000
2021-05-19,51.400002,51.889999,51.040001,51.790001,51.790001,159500
2021-05-20,51.430000,51.779999,51.259998,51.630001,51.630001,191600
2021-05-21,50.340000,50.450001,49.810001,50.110001,50.110001,259500
2021-05-24,50.380001,51.139999,50.380001,50.820000,50.820000,117300
2021-05-25,51.419998,51.759998,51.139999,51.169998,51.169998,217400
2021-05-26,51.099998,51.419998,50.959999,51.000000,51.000000,190900
2021-05-27,49.990002,50.480000,49.720001,50.369999,50.369999,311700
2021-05-28,51.139999,51.619999,51.020000,51.490002,51.490002,149900
2021-06-01,52.599998,53.200001,52.470001,53.150002,53.150002,189300
2021-06-02,53.119999,53.209999,52.810001,52.810001,52.810001,113100
2021-06-03,52.169998,52.490002,52.070000,52.349998,52.349998,115600
2021-06-04,52.169998,52.349998,51.549999,52.150002,52.150002,135400
2021-06-07,52.369999,52.459999,51.950001,52.110001,52.110001,114300
2021-06-08,51.910000,51.910000,51.400002,51.580002,51.580002,91500
2021-06-09,51.000000,51.000000,50.740002,50.900002,50.900002,107200
2021-06-10,51.119999,51.770000,51.060001,51.570000,51.570000,215100
2021-06-11,51.580002,51.580002,51.180000,51.419998,51.419998,114600
